CustomerID,FirstName,LastName,Gender,Phone,Email,City,State,RegionID,SignupDate,Segment,LoyaltyMember
C-00000,Walk-In,Customer,,,,,,,2012-06-01,Occasional,N
C-00001,Abdullahi,Chukwu,M,08157269276,abdullahi.chukwu320@yahoo.com,Warri,Delta,R04,2019-03-23,Occasional,N
C-00002,Amina,Obi,F,08141315095,amina.obi624@outlook.com,Lagos,Lagos,R01,2022-05-12,Occasional,Y
C-00003,Tunde,Waziri,M,09114076919,tunde.waziri14@hotmail.com,Port Harcourt,Rivers,R04,2022-12-24,Standard,Y
C-00004,Tanko,Danjuma,M,09046751848,,Kaduna,Kaduna,R05,2021-09-16,Standard,N
C-00005,Ifeanyi,Adebayo,M,07031867313,ifeanyi.adebayo519@gmail.com,Lagos,Lagos,R01,2025-11-13,Standard,N
C-00006,Ayodeji,Waziri,M,09028564906,ayodeji.waziri28@outlook.com,Lagos,Lagos,R01,2021-03-29,Standard,N
C-00007,Rukayat,Ekwueme,F,09048564870,rukayat.ekwueme396@gmail.com,Lagos,Lagos,R01,2021-04-04,Standard,N
C-00008,Musa,Dauda,M,08166641105,musa.dauda630@hotmail.com,Port Harcourt,Rivers,R04,2021-11-13,Occasional,Y
C-00009,Somto,Onyeka,M,07037105330,somto.onyeka50@gmail.com,Benin City,Edo,R04,2025-11-11,Standard,Y
C-00010,Adaeze,Adebayo,F,08142107702,adaeze.adebayo182@yahoo.com,Lagos,Lagos,R01,2022-09-20,Premium,N
C-00011,Ibrahim,Ezenwa,M,09142252359,ibrahim.ezenwa87@gmail.com,Lagos,Lagos,R01,2022-07-14,Standard,Y
C-00012,Maryam,Balogun,F,08122351169,maryam.balogun581@hotmail.com,IBADAN,Oyo,R02,2022-09-22,Occasional,N
C-00013,Maryam,Abdulrahman,F,08024344167,maryam.abdulrahman847@gmail.com,Lagos,Lagos,R01,2019-11-09,Occasional,Y
C-00014,Lekan,Okonkwo,M,08045247195,lekan.okonkwo637@gmail.com,Enugu,Enugu,R06,2024-11-03,Occasional,N
C-00015,Ronke,Ezenwa,F,08035708292,ronke.ezenwa43@gmail.com,Warri,Delta,R04,2025-03-24,Occasional,N
C-00016,Musa,Bakare,M,09079938500,musa.bakare926@gmail.com,Enugu,Enugu,R06,2020-04-19,Standard,N
C-00017,Zainab,Mohammed,F,08122562678,zainab.mohammed109@yahoo.com,Onitsha,Anambra,R06,2023-01-16,Premium,N
C-00018,Somto,Odutola,M,08145516333,somto.odutola504@gmail.com,Port Harcourt,Rivers,R04,2025-06-20,Occasional,Y
C-00019,Kemi,Afolabi,F,08151304998,kemi.afolabi214@gmail.com,Kaduna,Kaduna,R05,2019-02-03,Premium,N
C-00020,Aisha,Abdulrahman,F,,aisha.abdulrahman181@gmail.com,LAGOS,Lagos,R01,2019-09-16,Occasional,Y
C-00021,Funke,Suleiman,F,08072296670,,Lagos,Lagos,R01,2019-01-10,Standard,Y
