EmployeeID,FirstName,LastName,Role,StoreID,HireDate,MonthlySalaryNGN,Status
E-001,Khadija,Adebayo,Store Manager,ST-001,2018-01-24,373000,Active
E-002,Dapo,Obi,Cashier,ST-001,2013-02-17,131000,Active
E-003,Obinna,Idris,Cashier,ST-001,2017-04-12,88000,Active
E-004,Aisha,Ekwueme,Cashier,ST-001,2015-11-06,85000,Active
E-005,Bello,Oyelaran,Sales Associate,ST-001,2014-11-14,107000,Resigned
E-006,Ikenna,Olawale,Sales Associate,ST-001,2019-10-28,143000,Active
E-007,Wale,Danjuma,Sales Associate,ST-001,2019-11-10,93000,Active
E-008,Kelechi,Abdulrahman,Store Manager,ST-002,2019-08-27,441000,Active
E-009,Modupe,Salami,Cashier,ST-002,2014-03-22,98000,Active
E-010,Oluchi,Ezenwa,Cashier,ST-002,2022-04-18,97000,Active
E-011,Aisha,Falana,Cashier,ST-002,2018-06-20,91000,Active
E-012,Zainab,Obi,Cashier,ST-002,2014-01-09,135000,Active
E-013,Emeka,Fashola,Sales Associate,ST-002,2022-08-18,119000,Resigned
E-014,Ayodeji,Baba,Sales Associate,ST-002,2020-04-04,147000,Active
E-015,Obinna,Oladipo,Sales Associate,ST-002,2023-04-03,122000,Active
E-016,Abdullahi,Olawale,Store Manager,ST-003,2024-02-27,440000,Active
E-017,Kunle,Igwe,Cashier,ST-003,2023-09-10,126000,Active
E-018,Somto,Sambo,Cashier,ST-003,2020-04-11,121000,Active
E-019,Lekan,Sambo,Cashier,ST-003,2022-05-25,135000,Active
E-020,Zainab,Onwudiwe,Sales Associate,ST-003,2023-04-09,106000,Active
E-021,Yetunde,Iheanacho,Sales Associate,ST-003,2018-08-10,132000,Active
E-022,Adaeze,Ogunleye,Sales Associate,ST-003,2017-10-24,125000,Active
E-023,Chiamaka,Onwudiwe,Store Manager,ST-004,2016-08-30,391000,Active
E-024,Titilayo,Afolabi,Cashier,ST-004,2016-01-01,135000,Active
E-025,Sani,Ogundipe,Cashier,ST-004,2024-12-03,90000,Active
E-026,Dapo,Dauda,Cashier,ST-004,2019-08-31,85000,Active
E-027,Rotimi,Adeyemi,Cashier,ST-004,2015-02-12,86000,Active
E-028,Musa,Bakare,Sales Associate,ST-004,2014-01-15,118000,Resigned
E-029,Emeka,Baba,Sales Associate,ST-004,2013-07-23,93000,Active
E-030,Ronke,Yakubu,Sales Associate,ST-004,2013-05-25,100000,Active
E-031,Tanko,Onyeka,Store Manager,ST-005,2020-09-13,447000,Active
E-032,Somto,Onwudiwe,Cashier,ST-005,2018-04-05,115000,Resigned
E-033,Ibrahim,Idris,Cashier,ST-005,2021-09-12,102000,Active
E-034,Kemi,Abdulrahman,Cashier,ST-005,2015-04-22,119000,Active
E-035,Aisha,Eze,Cashier,ST-005,2017-02-07,129000,Active
E-036,Obinna,Tanimu,Sales Associate,ST-005,2021-05-04,98000,Active
E-037,Ifeanyi,Nwachukwu,Sales Associate,ST-005,2019-04-15,138000,Active
E-038,Ijeoma,Bello,Sales Associate,ST-005,2021-04-29,141000,Active
E-039,Modupe,Onwudiwe,Store Manager,ST-006,2019-02-21,514000,Resigned
E-040,Tunde,Abdulrahman,Cashier,ST-006,2015-12-10,98000,Active
E-041,Nasir,Adeyemi,Cashier,ST-006,2013-03-18,98000,Active
E-042,Femi,Ude,Cashier,ST-006,2017-09-14,119000,Active
E-043,Femi,Olawale,Cashier,ST-006,2013-01-10,128000,Active
E-044,Obinna,Bello,Sales Associate,ST-006,2014-11-14,112000,Active
E-045,Dapo,Ude,Sales Associate,ST-006,2019-06-02,129000,Active
E-046,Bolanle,Tanimu,Sales Associate,ST-006,2015-07-20,135000,Active
E-047,Chidinma,Eze,Store Manager,ST-007,2014-01-05,388000,Active
E-048,Modupe,Tanimu,Cashier,ST-007,2017-10-31,135000,Active
E-049,Nonso,Onwudiwe,Cashier,ST-007,2018-12-19,113000,Active
E-050,Chuka,Igwe,Cashier,ST-007,2020-01-25,135000,Active
E-051,Modupe,Afolabi,Sales Associate,ST-007,2023-12-30,135000,Active
E-052,Bolanle,Nwosu,Sales Associate,ST-007,2016-12-24,125000,Active
E-053,Nonso,Waziri,Sales Associate,ST-007,2018-06-02,92000,Active
E-054,Titilayo,Abdulrahman,Store Manager,ST-008,2014-05-27,387000,Active
E-055,Chinedu,Eze,Cashier,ST-008,2019-01-14,117000,Active
E-056,Simisola,Bakare,Cashier,ST-008,2016-01-06,133000,Active
E-057,Nasir,Ogundipe,Cashier,ST-008,2021-05-12,128000,Active
E-058,Khadija,Salami,Cashier,ST-008,2016-06-29,110000,Active
E-059,Bisi,Onyeka,Sales Associate,ST-008,2022-02-03,144000,Resigned
E-060,Amara,Bakare,Sales Associate,ST-008,2015-11-14,134000,Active
E-061,Uche,Lawal,Sales Associate,ST-008,2016-01-12,135000,Active
